# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
19252.8000 M646 872747 1 147.8000 t124 c70 297 N t124->c70
19322.6000 M623 676386 2 914.6000 c49 c58 284 N c49->t121->c58
19370.2000 M541 884888 6 3408.2000 w116 w111 243 N w116->c40->c50->c63->c40->t124->w111
19561.6000 M638 935143 11 694.6000 c66 t121 288 N c66->c49->w90->c58->c55->w103->p7->p19->w93->c46->c49->t121
19767.3000 M627 844191 5 1235.3000 p39 c57 279 N p39->w119->p36->w119->t124->c57
19999.2000 M643 755955 3 972.2000 c66 p6 283 N c66->c77->t124->p6
20018.6000 M532 852949 19 4320.6000 p23 w110 227 N p23->c55->w103->c54->c75->w93->p7->p19->p7->w99->p23->w99->p23->p15->p20->p23->c66->c52->c75->w110
20029.5000 M655 543282 11 657.5000 w108 w93 289 N w108->c55->w83->w105->c43->c63->c43->c76->w109->c50->p7->w93
20032.4000 M659 717762 8 541.4000 c71 w93 290 N c71->c65->c63->p20->w104->w91->c50->p7->w93
20099.2000 M586 771342 9 2773.2000 w98 w106 253 N w98->p21->t122->t125->p32->c79->t123->c77->c58->w106
20279.2000 M684 770897 1 49.2000 c49 p10 299 N c49->p10
20286.5000 M568 618982 12 3503.5000 t121 w89 241 N t121->c72->w112->c71->c65->w114->p0->w114->c48->c72->c40->t124->w89
20330.4000 M606 876947 6 2426.4000 c63 p6 259 N c63->w84->p15->p39->p15->t121->p6
20452.1000 M675 860109 3 479.1000 p9 w99 292 N p9->p32->t125->w99
20598.8000 M679 832223 4 506.8000 w111 p39 291 N w111->p1->c68->t123->p39
20670.0000 M692 837016 4 195.0000 w85 w109 296 N w85->c46->w99->w112->w109
20755.8000 M620 586875 26 2435.8000 c66 p23 259 N c66->c52->w119->c60->w116->c74->p15->w86->w90->c74->c41->c61->w109->c73->c79->c68->p10->t125->c64->w91->w98->p37->w98->p6->p28->w87->p23
20868.1000 M705 920215 1 10.1000 c46 w119 299 N c46->w119
20926.5000 M611 908326 3 2869.5000 c55 p11 252 N c55->w97->t125->p11
21142.6000 M595 698209 25 3559.6000 c54 p33 240 N c54->c71->c44->p14->p20->p14->c45->p9->c45->w113->w100->p9->w100->w113->w100->w113->p37->w113->p37->p9->t123->p9->p32->p9->c42->p33
21149.7000 M666 715087 13 1455.7000 p2 c44 275 N p2->w80->w81->p2->c67->c52->w118->c67->c52->w98->p37->c68->p35->c44
21348.9000 M709 970399 5 379.9000 c65 w117 293 N c65->w112->w99->c65->t120->w117
21419.7000 M650 743072 10 2197.7000 p30 p0 263 N p30->w109->w95->t124->c59->w97->c40->c61->p33->c59->p0
21566.4000 M628 660454 14 3000.4000 c43 c48 249 N c43->p17->c50->c69->c53->w95->p13->c79->t125->c72->c56->c79->p14->t120->c48
21730.6000 M708 879250 5 788.6000 p10 w81 286 N p10->w118->c56->p12->p3->w81
21791.1000 M736 918198 3 17.1000 c42 w109 299 N c42->c60->c65->w109
21820.2000 M706 943796 4 936.2000 p31 w90 284 N p31->w85->p8->t120->w90
